웹 검색 관심 대상: 선풍기 도시락 냉장고 목도리,,,,
전 세계 2004년 - 현재,,,,
,,,,
시간 경과에 따른 관심도 변화,,,,
주,선풍기,도시락,냉장고,목도리
2004-01-04 - 2004-01-10,2,8,6,2
2004-01-11 - 2004-01-17,0,5,7,2
2004-01-18 - 2004-01-24,0,2,7,3
2004-01-25 - 2004-01-31,0,3,5,3
2004-02-01 - 2004-02-07,0,2,4,2
2004-02-08 - 2004-02-14,0,4,5,2
2004-02-15 - 2004-02-21,0,3,7,2
2004-02-22 - 2004-02-28,0,2,4,2
2004-02-29 - 2004-03-06,0,5,6,3
2004-03-07 - 2004-03-13,0,4,6,3
2004-03-14 - 2004-03-20,1,2,7,3
2004-03-21 - 2004-03-27,1,3,6,3
2004-03-28 - 2004-04-03,1,5,6,0
2004-04-04 - 2004-04-10,1,3,6,0
2004-04-11 - 2004-04-17,1,9,6,0
2004-04-18 - 2004-04-24,1,4,5,0
2004-04-25 - 2004-05-01,2,3,3,0
2004-05-02 - 2004-05-08,1,3,6,0
2004-05-09 - 2004-05-15,1,2,5,0
2004-05-16 - 2004-05-22,2,2,7,0
2004-05-23 - 2004-05-29,3,4,4,0
2004-05-30 - 2004-06-05,8,2,5,0
2004-06-06 - 2004-06-12,3,3,4,1
2004-06-13 - 2004-06-19,4,3,6,1
2004-06-20 - 2004-06-26,5,2,4,0
2004-06-27 - 2004-07-03,4,3,8,0
2004-07-04 - 2004-07-10,4,4,3,0
2004-07-11 - 2004-07-17,3,2,3,0
2004-07-18 - 2004-07-24,6,2,4,0
2004-07-25 - 2004-07-31,6,3,9,0
2004-08-01 - 2004-08-07,6,3,4,0
2004-08-08 - 2004-08-14,5,2,5,0
2004-08-15 - 2004-08-21,1,3,4,0
2004-08-22 - 2004-08-28,1,1,6,1
2004-08-29 - 2004-09-04,1,3,3,0
2004-09-05 - 2004-09-11,1,5,4,0
2004-09-12 - 2004-09-18,1,4,4,0
2004-09-19 - 2004-09-25,2,2,5,0
2004-09-26 - 2004-10-02,1,1,4,0
2004-10-03 - 2004-10-09,2,1,5,0
2004-10-10 - 2004-10-16,1,1,6,0
2004-10-17 - 2004-10-23,1,1,2,1
2004-10-24 - 2004-10-30,1,3,5,1
2004-10-31 - 2004-11-06,1,3,5,2
2004-11-07 - 2004-11-13,5,3,3,3
2004-11-14 - 2004-11-20,1,1,4,3
2004-11-21 - 2004-11-27,6,1,7,2
2004-11-28 - 2004-12-04,12,2,4,3
2004-12-05 - 2004-12-11,4,1,5,2
2004-12-12 - 2004-12-18,4,2,4,2
2004-12-19 - 2004-12-25,3,1,4,3
2004-12-26 - 2005-01-01,5,1,2,3
2005-01-02 - 2005-01-08,3,1,2,1
2005-01-09 - 2005-01-15,1,8,5,2
2005-01-16 - 2005-01-22,1,3,5,3
2005-01-23 - 2005-01-29,2,3,4,1
2005-01-30 - 2005-02-05,1,2,3,1
2005-02-06 - 2005-02-12,1,2,1,1
2005-02-13 - 2005-02-19,1,2,4,1
2005-02-20 - 2005-02-26,1,2,3,1
2005-02-27 - 2005-03-05,3,1,5,1
2005-03-06 - 2005-03-12,2,1,3,1
2005-03-13 - 2005-03-19,2,1,2,0
2005-03-20 - 2005-03-26,1,2,2,0
2005-03-27 - 2005-04-02,1,3,7,0
2005-04-03 - 2005-04-09,3,1,5,0
2005-04-10 - 2005-04-16,1,2,3,0
2005-04-17 - 2005-04-23,4,2,2,0
2005-04-24 - 2005-04-30,2,2,3,0
2005-05-01 - 2005-05-07,4,2,3,0
2005-05-08 - 2005-05-14,2,1,3,0
2005-05-15 - 2005-05-21,1,3,3,0
2005-05-22 - 2005-05-28,1,4,2,0
2005-05-29 - 2005-06-04,3,2,4,0
2005-06-05 - 2005-06-11,2,1,3,1
2005-06-12 - 2005-06-18,2,2,5,0
2005-06-19 - 2005-06-25,2,1,6,0
2005-06-26 - 2005-07-02,5,1,5,0
2005-07-03 - 2005-07-09,1,2,4,0
2005-07-10 - 2005-07-16,1,3,4,0
2005-07-17 - 2005-07-23,4,1,5,0
2005-07-24 - 2005-07-30,2,2,2,0
2005-07-31 - 2005-08-06,2,3,4,0
2005-08-07 - 2005-08-13,2,2,3,0
2005-08-14 - 2005-08-20,2,3,3,0
2005-08-21 - 2005-08-27,2,2,3,0
2005-08-28 - 2005-09-03,1,2,3,0
2005-09-04 - 2005-09-10,1,2,3,0
2005-09-11 - 2005-09-17,1,2,1,1
2005-09-18 - 2005-09-24,1,2,3,1
